Filename,DataType,Size,Algorithm,TimeSecondsMean,TimeSecondsStd,ComparisonsMean,ComparisonsStd,MemoryBytesMean,MemoryBytesStd
d1000000.txt,Descending,1000000,MergeSort,0.1090828,0.004714716343535423,11039862.0,0.0,79805696.0,0.0
d1000000.txt,Descending,1000000,QuickSort,0.24026999999999998,0.0005315096424336966,112924203.0,0.0,0.0,0.0
d1250000.txt,Descending,1250000,HeapSort,0.23474659999999997,0.010002571834283429,45650895.0,0.0,0.0,0.0
d1250000.txt,Descending,1250000,MergeSort,0.141828,0.008119581177622398,14167792.0,0.0,101611392.0,0.0
d1250000.txt,Descending,1250000,QuickSort,0.36464280000000004,0.0029525215833249895,172772456.0,0.0,0.0,0.0
d15000.txt,Descending,15000,HeapSort,0.001981,9.643650760992857e-06,357692.0,0.0,0.0,0.0
d15000.txt,Descending,15000,MergeSort,0.0013128,2.197043467935935e-05,110050.0,0.0,834464.0,0.0
d15000.txt,Descending,15000,QuickSort,0.0009105999999999999,6.426507605223805e-06,192712.0,0.0,0.0,0.0
d1500000.txt,Descending,1500000,HeapSort,0.2764914,0.0011549635492083849,55504837.0,0.0,0.0,0.0
d1500000.txt,Descending,1500000,MergeSort,0.16508799999999998,0.00121702156924189,17252481.0,0.0,123611392.0,0.0
d1500000.txt,Descending,1500000,QuickSort,0.5189223999999999,0.011226779070597296,245515500.0,0.0,0.0,0.0
d200.txt,Descending,200,HeapSort,1.8200000000000002e-05,4.472135954999578e-07,2275.0,0.0,0.0,0.0
d200.txt,Descending,200,MergeSort,1.3999999999999998e-05,0.0,734.0,0.0,6176.0,0.0
d200.txt,Descending,200,QuickSort,1.02e-05,4.4721359549995745e-07,1225.0,0.0,0.0,0.0
d2000.txt,Descending,2000,HeapSort,0.0002176,4.722287581247037e-06,36000.0,0.0,0.0,0.0
d2000.txt,Descending,2000,MergeSort,0.0001524,6.913754406977439e-06,11041.0,0.0,87808.0,0.0
d2000.txt,Descending,2000,QuickSort,0.0001062,8.366600265340724e-07,19004.0,0.0,0.0,0.0
d200000.txt,Descending,200000,HeapSort,0.0322044,0.00020343131519016686,6240125.0,0.0,0.0,0.0
d200000.txt,Descending,200000,MergeSort,0.0199708,0.00016206233368676448,1982709.0,0.0,14151424.0,0.0
d200000.txt,Descending,200000,QuickSort,0.0180648,4.8427265047699665e-05,6466433.0,0.0,0.0,0.0
d2000000.txt,Descending,2000000,HeapSort,0.3836558,0.00987371341998542,75672428.0,0.0,0.0,0.0
d2000000.txt,Descending,2000000,MergeSort,0.2226222,0.0018784945302023136,23100824.0,0.0,167611392.0,0.0
d2000000.txt,Descending,2000000,QuickSort,0.8966848000000001,0.0019461287727178204,428118433.0,0.0,0.0,0.0
d30000.txt,Descending,30000,HeapSort,0.0042226,2.9441467354736398e-05,775259.0,0.0,0.0,0.0
d30000.txt,Descending,30000,MergeSort,0.0027543999999999997,1.8942016788082408e-05,242118.0,0.0,1788928.0,0.0
d30000.txt,Descending,30000,QuickSort,0.001889,6.204836822995388e-06,442369.0,0.0,0.0,0.0
d500.txt,Descending,500,HeapSort,4.84e-05,1.5165750888103078e-06,7010.0,0.0,0.0,0.0
d500.txt,Descending,500,MergeSort,3.48e-05,8.366600265340757e-07,2226.0,0.0,17952.0,0.0
d500.txt,Descending,500,QuickSort,2.46e-05,5.477225575051675e-07,3705.0,0.0,0.0,0.0
d5000.txt,Descending,5000,HeapSort,0.000595,9.513148795220184e-06,103288.0,0.0,0.0,0.0
d5000.txt,Descending,5000,MergeSort,0.00040260000000000003,7.829431652425355e-06,31080.0,0.0,247232.0,0.0
d5000.txt,Descending,5000,QuickSort,0.0002822,1.7888543819998256e-06,54185.0,0.0,0.0,0.0
d50000.txt,Descending,50000,HeapSort,0.007343,6.493458246573997e-05,1364549.0,0.0,0.0,0.0
d50000.txt,Descending,50000,MergeSort,0.0046466,3.576730350473781e-05,433526.0,0.0,3137856.0,0.0
d50000.txt,Descending,50000,QuickSort,0.0032256,1.32400906341306e-05,841416.0,0.0,0.0,0.0
d500000.txt,Descending,500000,HeapSort,0.087282,0.0015696273443081975,16921892.0,0.0,0.0,0.0
d500000.txt,Descending,500000,MergeSort,0.0524004,0.00180083225204348,5249915.0,0.0,37902848.0,0.0
d500000.txt,Descending,500000,QuickSort,0.0725884,0.00043634768247350367,31291022.0,0.0,0.0,0.0
d7500.txt,Descending,7500,HeapSort,0.0009258000000000001,8.228000972289647e-06,163740.0,0.0,0.0,0.0
